name,latitude,longitude
Place Commanderie,48.6858518,6.1674456
Commanderie - Chalnot,48.6868589,6.1722364
Gare Saint-Léon,48.6895927,6.1722984
Saint-Sébastien - Saint-Thiébaut,48.6886915,6.1793496
Marché Central,48.6891697,6.1838427
Place Dombasle,48.6918509,6.1781901
Place de la Carrière,48.6945726,6.1821918
Cours Léopold - Saint-Michel,48.6957178,6.1767737
Porte de la Craffe,48.6984552,6.1779375
3 Maisons - Charles V,48.7012234,6.1769554
Conservatoire - Manufacture,48.6957309,6.1712253
Hôpital Central,48.6834257,6.1902912
Hôpital Saint-Julien,48.685891,6.1929421
Place Colonel Driant,48.6920811,6.1872489
Port Sainte-Catherine,48.69553,6.1904219
Promenade des Canaux,48.6928364,6.1963211
Porte Saint-Nicolas,48.6848122,6.1873286
Dominicains - Fourier,48.6924393,6.1833039
LCL,48.6893224,6.1726934
Parking Monseigneur Thouvenin,48.6888021,6.1780346
Kinepolis Nancy,48.6918103,6.1958243
GSILab,48.6949702,6.193588
La Place,48.6937938,6.1825077
L'Alsace à Table,48.6940166,6.1807088
Caisse d'Épargne,48.6917248,6.1778545
Caisse d'Épargne,48.6915519,6.1779872
Hôtel Littéraire Stendhal,48.6917582,6.186497
Port de Plaisance de Nancy-Saint-Georges,48.6931359,6.1935487
Théâtre de la Manufacture,48.6960807,6.1718764
La Pêche Lorraine,48.6723275,6.1729865
Université de la Culture Permanente,48.6855481,6.1705002
Hungry Sushi,48.6841479,6.1772376
Le Black Baron,48.6846961,6.1797333
Auto-École JC,48.6724402,6.1725554
Bar au dit vin,48.6910048,6.1710947
Le Ch'timi,48.6965467,6.179726
Port de Plaisance de Nancy,48.6950032,6.1918425
Port de Malzéville,48.7026599,6.1823505
L'Avant Première,48.6913546,6.1956945
Parking Dom Calmet,48.6916239,6.1811413
Fami Thé,48.6915635,6.1803795
Confédération Générale du Travail Ville de Nancy,48.69294,6.1849502
Parking Saint-Dizier,48.6892457,6.184451
Crédit Agricole,48.6893716,6.1783511
Abracadabra,48.7024634,6.1808556
Residhome Apparthotel Nancy Lorraine,48.6941144,6.1954989
La Poste Nancy Porte Saint-Georges,48.6881272,6.1919259
Pharmacie de la Salle,48.6870612,6.1888339
Espace Skate Board Oberlin,48.70344,6.185091
Pharmacie des Jardins d'Eau,48.694834,6.194108
Novotel Suites Nancy Centre,48.6927217,6.1952019
Brasserie Le Midi Pile,48.7010909,6.176654
Crédit Mutuel,48.700611,6.177871
Crédit Mutuel,48.7007994,6.177827
Pizzas,48.6921373,6.1483773
BNP Paribas,48.6881566,6.1653418
Banque Populaire,48.6880291,6.165738
Hôtel Poincaré,48.6885494,6.167189
Bibliothèque pour Tous,48.6886542,6.1675644
Auto-école Boufflers,48.693464,6.139842
Restaurant Beauregard,48.69348,6.139682
Société Générale,48.6921006,6.1680559
McDonald's,48.6900162,6.1831638
Caisse d'Épargne,48.6905692,6.1825088
Le Medea,48.6904407,6.1715852
Pizzeria Adriatica,48.6902854,6.171499
Pizza Roma,48.6900267,6.1720015
Rice and curry,48.6904159,6.1728211
Hôtel de Flore,48.6909144,6.1744682
Bouillon du terroir,48.6911257,6.1749582
Brasserie Simone,48.6896111,6.1753725
Brasserie Simone,48.6896447,6.1754813
Burger Kebab,48.6893791,6.1760135
Banque Populaire,48.6894785,6.1786853
Crystal Hôtel,48.6900334,6.1781471
CCF,48.6898427,6.1792926
KFC,48.6902061,6.1809571
Le Chagnot,48.6906688,6.1824189
Papa Fries,48.691235,6.1835947
Snack Marmaris,48.6917349,6.1851445
Le Gentilly,48.694933,6.13885
Pomme de Pain,48.6895245,6.1788275
Nancy Thermal,48.6795944,6.1671514
Marché d'Haussonville,48.672246,6.1656732
Les Deux Rives,48.6953458,6.195203
Fac de Lettres,48.6928829,6.168452
CIC,48.6898604,6.1774793
Caméo Saint-Sébastien,48.6889331,6.1787659
Parking Kennedy,48.685952,6.1739307
Zhong Pin,48.6839717,6.1730019
Presto Pizzas,48.6844606,6.1858192
Blonde — Wine and beer place,48.6901648,6.1842877
La Flamme du chef,48.690077,6.1839165
Le Coq en Fer,48.6903992,6.1847646
Blend,48.6900568,6.183854
Voyou delivery,48.6900323,6.1837773
La Julienne,48.6909478,6.1847178
El Gusto,48.6911674,6.1845888
L'annexe,48.6901411,6.1841145
Makewok,48.6900119,6.1837143
Bora Baden,48.6949714,6.181429
Papilles Alain,48.6954256,6.1810115
La Gavotte,48.6962576,6.1803447
La cave du Père Magott,48.6962154,6.1803917
Flambock,48.6944069,6.1817787
Butter,48.6952454,6.1811209
Le Speakeasy,48.6955448,6.1809391
L'intime,48.6946267,6.1814856
Carte Blanche,48.6947899,6.1815305
Banque Populaire,48.684095,6.18857
Banque Populaire,48.684099,6.188581
Le Petit Bouillon Pharamond,48.6895807,6.1752755
Quick,48.6895269,6.1761692
Jean Lamour,48.6938547,6.1827025
Les Oliviers,48.695614,6.177814
Akoya Sushi,48.7011832,6.1765845
